# This table allows three kinds of mappings:
# 1: From major class to comma separated lemmas (place -> place,location)
# 2: From subclass to comma separated lemmas (city -> place,location,burg,metropolis...)
# 3: From markable string to comma separated markable strings (United States -> USA,US,America...)
# Sources: PPDB, Amir Zeldes (see licenses)
µl	μl
panel	pane
pants	trousers
papa	dad
papa	daddy
paper	document
paperboard	cardboard
papilla	papillae
papillae	papilla
paradise	heaven
paragraph	subsection
paragraphs	subsections
paramilitaries	paramilitary
paramilitary	paramilitaries
parasite	parasitic
parasites	pests
parasitic	parasite
parcels	plots
parentage	filiation
pariah	outcast
parody	travesty
part	party
participation	involvement
participative	participatory
participatory	participative
particle	particulate
particles	particulate
particles	particulates
particulate	particle
particulate	particles
particulates	particles
partition	partitioning
partitioning	partition
party	part
party	party
passenger-kilometres	passenger-kms
passenger-kms	passenger-kilometres
pasta	pulp
paste	pasting
pasteur	pastor
pasteurisation	pasteurization
pasteurization	pasteurisation
pasting	paste
pastor	pasteur
pasture	grazing
paternity	fatherhood
pathogen	pathogenic
pathogenic	pathogen
patriotes	patriots
patriots	patriotes
patrol	patrolling
patrolling	patrol
patronage	favouritism
pawl	ratchet
pcp	cfp
pdb	apb
peace-building	peacebuilding
peace-keeping	peacekeeping
peacebuilding	peace-building
peacekeeping	peace-keeping
pearls	beads
peatland	bog
peatlands	bogs
pediatrician	paediatrician
pediatricians	paediatricians
pediatrics	paediatrics
pedophilia	paedophilia
peduncle	stalk
pee	piss
peeper	voyeur
pellets	granules
pelts	skins
penal	criminal
penalties	sanctions
pencils	crayons
people	persons
percent	%
perfluorooctane	sulfonate
perfusion	infusion
permanent	standing
permissions	permits
permits	permissions
perpetrators	authors
person	individual,character,human,person
personalization	customization
personalizations	customizations
personalize	customize
personnel	staff
persons	people
perspectives	prospects
perspiration	transpiration
pests	parasites
petrol	gasoline
petroleum	oil
pgi	igp
ph.d.	phd
phantom	ghost
phantoms	ghosts
phare	lighthouse
pharmacokinetic	pk
pharmacologic	pharmacological
pharmacological	pharmacologic
pharmacosurveillance	pharmacovigilance
pharmacovigilance	pharmacosurveillance
phase	stage
phases	stages
phd	ph.d.
phenolics	phenols
phenols	phenolics
phone	telephone
phones	telephones
phosphorous	phosphorus
phosphorus	phosphorous
photo-oxidation	photooxidation
photocopy	photocopying
photocopying	photocopy
photographs	photos
photooxidation	photo-oxidation
photos	photographs
photos	pictures
photosynthesis	photosynthetic
photosynthetic	photosynthesis
physician	doctor
physicians	doctors
physiologic	physiological
physiological	physiologic
picas	spades
pick-pocketing	pickpocketing
picker	selector
pickles	gherkins
pickpocketing	pick-pocketing
pictograms	pictographs
pictographs	pictograms
picture	image
pictures	images
pictures	photos
pierre	stone
pig	pork
pilgrimage	hajj
pilgrims	hajjis
pimp	mac
pimps	procurers
ping	pyeong
pinion	sprocket
pipe	tube
piss	pee
pivot	pivottable
pivottable	pivot
pk	pharmacokinetic
place	place,location
planes	aircraft
plantation	planting
plantations	plantings
planting	plantation
plantings	plantations
plaque	plate
plaques	plates
plasticisers	plasticizers
plasticizers	plasticisers
plate	plaque
plates	plaques
player	actor
players	actors
playwright	dramatist
playwrights	dramatists
plot	conspiracy
plots	parcels
plug-in	plugin
plug-ins	plugins
plugin	plug-in
plugins	plug-ins
plums	prunes
plundering	looting
pluralist	pluralistic
pluralistic	pluralist
pma	agp
polarisation	polarization
polarization	polarisation
policy	political
polio	poliomyelitis
poliomyelitis	polio
political	policy
polyethene	polyethylene
polyethylene	polyethene
polymerisation	polymerization
polymerization	polymerisation
poplar	aspen
poplar	cottonwood
porch	veranda
pore	pores
pores	pore
pork	pig
porn	porno
porno	porn
port	harbour
portability	transferability
portable	laptop
portfolio	wallet
ports	harbours
positions	posts
possum	opossum
post-production	postproduction
post-secondary	postsecondary
postproduction	post-production
posts	positions
postsecondary	post-secondary
potable	drinking
pov	vdp
pow-wow	powwow
power-	powers-
powerlessness	impotence
powers-	power-
powwow	pow-wow
ppe	epp
ppt	tpp
pqp	rpq
préfets	prefects
praesidium	presidium
prairie	grassland
prairies	grasslands
pre-accession	preaccession
pre-authentication	preauthentication
pre-clinical	preclinical
pre-eclampsia	preeclampsia
pre-enrichment	preenrichment
pre-feasibility	prefeasibility
pre-financing	prefinancing
pre-mixes	premixtures
pre-natal	prenatal
pre-primary	pre-school
pre-production	preproduction
pre-publication	prepublication
pre-qualification	prequalification
pre-school	pre-primary
pre-school	preschool
pre-session	pre-sessional
pre-sessional	pre-session
pre-treatment	pretreatment
preaccession	pre-accession
preauthentication	pre-authentication
precipitation	rainfall
precision	accuracy
preclinical	pre-clinical
precondition	prerequisite
preeclampsia	pre-eclampsia
preenrichment	pre-enrichment
preface	foreword
prefeasibility	pre-feasibility
prefects	préfets
prefinancing	pre-financing
premix	premixture
premixes	premixtures
premixture	premix
premixtures	pre-mixes
premixtures	premixes
prenatal	antenatal
prenatal	pre-natal
preproduction	pre-production
prepublication	pre-publication
prequalification	pre-qualification
prerequisite	precondition
preschool	pre-school
presence	attendee
presentation	submission
presidency	chairmanship
president	chairman
president	chairperson
presidents	chairmen
presidents	chairpersons
presidium	praesidium
pretreatment	pre-treatment
preventable	avoidable
preventative	preventive
preventive	preventative
price	prices
prices	price
principal	main
print	printing
printable	version
printing	print
printmaker	engraver
prior	before
prison	imprisonment
prison	jail
prisons	jails
privatisation	privatization
privatization	privatisation
proactive	disclosure
probability	likelihood
probie	newbie
procedures	proceedings
proceedings	procedures
processing	treatment
processors	transformers
procurers	pimps
professional	vocational
professionalisation	professionalization
professionalization	professionalisation
professions	occupations
program	programme
programme	program
programmes	programs
programs	programmes
prohibition	ban
prohibitions	bans
project	draft
promoter	proponent
promoters	proponents
promulgation	enactment
proof	evidence
propagation	spread
propeller	helix
propellers	helices
property	ownership
proponent	promoter
proponent	sponsor
proponents	promoters
propyl	gallate
prosecutor	attorney
prospects	perspectives
prostate	prostatic
prostatic	prostate
prostheses	prosthetics
prosthetics	prostheses
protector	saver
protesters	demonstrators
protestors	demonstrators
protozoa	protozoan
protozoan	protozoa
protrusions	protuberances
protuberances	protrusions
provider	supplier
providers	suppliers
provisional	interim
prudence	caution
prunes	plums
psycho	psychopath
psycho-social	psychosocial
psychopath	psycho
psychosocial	psycho-social
publicity	advertising
pull-down	drop-down
puller	remover
pulmonary	lung
pulp	pasta
pupils	students
purchase	buy
purchaser	buyer
purchasers	buyers
purge	debug
purse	bag
puzzle	jigsaw
pvc	pvcs
pvcs	pvc
pwgsc.gc.ca	pwgsc.gc.ca.
pwgsc.gc.ca.	pwgsc.gc.ca
pyeong	ping
pyeong	pyong
pyjamas	pajamas
pyong	pyeong
q1	t1
q2	t2
q3	t3
q4	t4
qassam	al-qassam
québec	quebec
quadrupolar	quadrupole
quadrupole	quadrupolar
quake	earthquake
quantification	quantization
quantify	quantifying
quantifying	quantify
quantities	amounts
quantity	quantity
quantization	quantification
quartets	tetrads
quebec	québec
quebecers	quebeckers
quebeckers	quebecers
queensway	admiralty
question	issue
questions	issues
quetzales	quetzals
quetzals	quetzales
queue	cola
quilombolas	quilombos
quilombos	quilombolas
quinquiens	quinquies
quinquies	quinquiens
quintals	centners
rabbit	bunny
rabbits	bunnies
radicalisation	radicalization
radicalization	radicalisation
radio-navigation	radionavigation
radionavigation	radio-navigation
radiotelephone	radiotelephony
radiotelephony	radiotelephone
rags	cloths
rail	railway
railway	rail
rainfall	precipitation
randomisation	randomization
randomization	randomisation
rapeseed	colza
ratchet	pawl
rationale	justification
rationalization	streamlining
rave-sweepers	grave-sweepers
ravens	crows
rayon	viscose
re-admissions	readmissions
re-certification	recertification
re-employment	reemployment
re-evaluation	reassessment
re-evaluation	revaluation
re-export	re-exportation
re-exportation	re-export
re-importation	reimportation
re-inspection	reinspection
re-introduction	reintroduction
re-justification	rejustification
re-nationalisation	renationalisation
re-offending	recidivism
re-operation	reoperation
re-operations	reoperations
re-socialization	resocialisation
re-use	reuse
re-verification	reverification
reactants	reagents
reactive	reagent
reactivity	responsiveness
readability	legibility
readable	legible
readmissions	re-admissions
reagent	reactive
reagents	reactants
real-time	realtime
realtime	real-time
rearmament	rearming
rearming	rearmament
reasons	grounds
reassessment	re-evaluation
rebate	refund
rebellion	insurgency
rebels	insurgents
rebirth	renaissance
reboot	restart
reboots	restarts
rebuilding	reconstruction
recapitalisation	recapitalization
recapitalization	recapitalisation
recast	recasting
recasting	recast
receivers	receptors
receptors	receivers
recertification	re-certification
recharge	reload
recheck	retest
recidivism	re-offending
recipient	beneficiary
recipients	beneficiaries
recognizes	acknowledges
reconstruction	rebuilding
recordable	writable
recorder	burner
recordings	registrations
records	documents
recreation	leisure
recruiting	recruitment
recruitment	recruiting
redemptions	buybacks
redfish	rockfish
redirect	redirection
redirection	redirect
reemployment	re-employment
referenda	referendums
referendums	referenda
refraction	refractive
refractive	refraction
refrigerant	coolant
refrigerator	fridge
refrigerators	fridges
refund	rebate
reg	erw
regardless	irrespective
region	place,area,location
regionalisation	regionalization
regionalization	regionalisation
register	registry
registrar	clerk
registrations	recordings
registry	register
regularisation	regularization
regularization	regularisation
regulation-	regulations-
regulation-	section-
regulations-	regulation-
reimportation	re-importation
reinspection	re-inspection
reintroduction	re-introduction
rejustification	re-justification
relations	relationships
relationships	relations
reload	recharge
relocation	resettlement
remarks	comments
remedial	corrective
remelt	remelting
remelting	remelt
remodeling	remodelling
remodelling	remodeling
remover	puller
renaissance	rebirth
renationalisation	re-nationalisation
renationalisation	renationalization
renationalization	renationalisation
renewable	revolving
rent	rental
rental	lease
rental	rent
reoperation	re-operation
reoperations	re-operations
replies	answers
replies	responses
reply	answer
reply	response
reportable	notifiable
representativeness	representativity
representativity	representativeness
repression	suppression
reprisal	retaliation
request	application
research	search
researcher	investigator
researchers	investigators
reservation	reserve
reservations	reserves
reserve	reservation
reserves	reservations
reservoir	tank
resettlement	relocation
residence	residency
residency	residence
residues	tailings
resilience	resiliency
resiliency	resilience
resocialisation	re-socialization
resource	resources
resources	resource
respiration	breathing
response	answer
response	reply
responses	answers
responses	replies
responsibility	liability
responsiveness	reactivity
restart	reboot
restarts	reboots
result	outcome
results	outcomes
retainer	fastener
retainers	fasteners
retaliation	reprisal
retest	recheck
reticulum	endoplasmic
reticulum	sarcoplasmic
retransmission	webcast
reuse	re-use
revaluation	re-evaluation
revenge	vengeance
revenue	income
reverification	re-verification
review	consideration
reviewer	examiner
reviewers	examiners
reviews	examinations
revolving	renewable
reyes	kings
rfi	ddr
rfp	dp
rfso	doc
rials	riyals
richness	wealth
rifampicin	rifampin
rifampin	rifampicin
right	law
right-wing	rightist
rightist	right-wing
rigidity	stiffness
riot	anti-riot
ripening	maturation
rites	rituals
rituals	rites
riyals	rials
rls	epirbs
roaches	cockroaches
robbers	thieves
robe	bathrobe
rockets	missiles
rockfish	redfish
roofs	rooftops
rooftops	roofs
roomie	roommate
roommate	flatmate
roommate	roomie
rooms	chambers
roubles	rubles
rp	mop
rpc	cpp
rpq	pqp
rs	sr
rta	atr
rubber	goma
rubles	roubles
rucksack	backpack
rucksacks	backpacks
rue	street
rug	carpet
rule	article
rumors	rumours
rumours	rumors
run-off	runoff
run-time	runtime
runoff	run-off
runtime	run-time
rupees	rupiah
rupiah	rupees
russeting	scorch
sámi	sami
s04	so4
saa	asa
sable	sand
sadc	cfdc
sadr	al-sadr
safeguards	guarantees
safety	security
saisons	seasons
sal	salt
salaam	salam
salam	salaam
salaries	wages
salary	wage
sale	selling
salesperson	seller
salination	salinization
salinization	salination
salt	sal
salvadorans	salvadorians
salvadorians	salvadorans
sami	sámi
sanatorium	sanitarium
sanctions	penalties
sanctity	inviolability
sand	sable
sandstone	stoneware
sanitarium	sanatorium
sarcoplasmic	reticulum
sarge	sergeant
sat	saturday
saturday	sat
sauce	gravy
savannahs	savannas
savannas	savannahs
saver	protector
savior	saviour
saviour	savior
sc	hc
scared	afraid
scc	ncc
scepticism	skepticism
sceptics	skeptics
scholarships	fellowships
science	sciences
sciences	science
scn	sna
scorch	russeting
scour	scouring
scouring	scour
scr	vcc
scrapes	abrasions
screen	display
screw	bolt
screws	bolts
sculptor	carver
sculptors	carvers
sculptures	carvings
sdrs	dts
sealant	sealer
sealer	sealant
search	research
seasonings	condiments
seasons	saisons
seat-back	backrest
sec	dry
secondment	detachment
secondments	detachments
secrecy	secret
secret	secrecy
secretion	secretory
secretory	secretion
section	article
section-	regulation-
secularism	secularity
secularity	secularism
securitisation	securitization
securitization	securitisation
security	safety
seigneury	lordship
selector	picker
self-assessment	self-evaluation
self-assessments	self-evaluations
self-building	self-construction
self-care	selfcare
self-construction	self-building
self-defence	self-defense
self-defense	self-defence
self-destruct	self-destruction
self-destruction	self-destruct
self-evaluation	self-assessment
self-evaluations	self-assessments
self-reliance	self-sufficiency
self-sufficiency	self-reliance
selfcare	self-care
selfishness	egoism
selfishness	egotism
seller	salesperson
seller	vendor
selling	sale
semen	sperm
semi-colon	semicolon
semicolon	semi-colon
seniors	elders
sensibilities	sensitivities
sensitivities	sensibilities
sentiments	feelings
seo	xu
separability	severability
sepsis	septicaemia
sepsis	septicemia
septicaemia	sepsis
septicemia	sepsis
serb	serbian
serbian	serb
sergeant	sarge
seriousness	gravity
serotype	serovar
serotypes	serovars
serovar	serotype
serovars	serotypes
serpent	snake
serrations	splines
service	services
services	service
servitude	easement
settings	configuration
setup	configuration
severability	separability
severity	gravity
sewage	wastewater
sewing	couture
sex	gender
sexiens	sexies
sexies	sexiens
sg	gs
sh	hs
shaft	axis
shaft	axle
shame	disgrace
shan	hill
shape-shifter	chameleon
shape-shifter	shapeshifter
shape-shifters	shapeshifters
shaper	modeler
shapeshifter	shape-shifter
shapeshifters	shape-shifters
sharia	shariah
shariah	sharia
shear	shearing
shearing	shear
sheaths	gaines
sheep	ovine
sheikh	al-sheikh
sheikh	el-sheikh
shepherd	berger
shields	escudos
ship	vessel
shipper	charger
shippers	consignors
ships	vessels
shirt	t-shirt
shoes	footwear
shops	stores
short-wave	shortwave
shortcomings	deficiencies
shortwave	short-wave
si	tr
side-car	sidecar
sidecar	side-car
signature	signing
significance	importance
signing	signature
silencer	muffler
silos	elevators
siltation	silting
silting	siltation
simultaneous	concurrent
sinew	tendon
sinter	sintering
sintering	sinter
siren	mermaid
sirens	mermaids
sitter	babysitter
six-party	six-way
six-way	six-party
sixth	6th
skepticism	scepticism
skeptics	sceptics
ski	skiing
skiing	ski
skins	pelts
sku	skus
skus	sku
slaughterhouse	abattoir
slaughterhouses	abattoirs
sled	sleigh
sledges	sleds
sleds	sledges
sleep	sleeping
sleepiness	drowsiness
sleepiness	somnolence
sleeping	sleep
sleeplessness	insomnia
sleeve	hose
sleigh	sled
slot	groove
slots	grooves
slut	bitch
sm	fs
smart	intelligent
smell	odour
smelter	foundry
smelters	foundries
smoke-free	smokeless
smokeless	smoke-free
sna	scn
snake	serpent
snap-ins	add-ins
snap-ins	add-ons
snaps	snapshots
snapshots	snaps
sneakers	infiltrators
so4	s04
soccer	football
socialisation	socialization
socialization	socialisation
socio-demographic	sociodemographic
socio-economic	socioeconomic
sociodemographic	socio-demographic
socioeconomic	socio-economic
sofa	couch
solitude	loneliness
solvent	solvents
solvents	solvent
somebody	someone
someone	somebody
somnolence	drowsiness
somnolence	sleepiness
son-in-law	stepson
sorceress	witch
sorcery	witchcraft
south-east	south-eastern
south-east	southeast
south-eastern	south-east
south-eastern	southeast
south-west	southwest
southeast	south-east
southeast	south-eastern
southwest	south-west
souvenirs	memories
soy	soybean
soya	soybean
soya	soybeans
soybean	soy
soybean	soya
soybeans	soya
space	spatial
spades	picas
spatial	space
specialisation	specialization
specialization	specialisation
specific	concrete
spending	expenditure
sperm	semen
sperm	spermatozoa
spermatozoa	sperm
spines	thorns
splines	serrations
spoiler	deflector
sponsor	proponent
spread	propagation
spreadsheet	worksheet
spreadsheets	worksheets
sprocket	pinion
spy	espionage
spying	espionage
sq	lp
squirrel	chipmunk
sr	rs
src	cbc
stabilisation	stabilization
stabilisers	stabilizers
stabilization	stabilisation
stabilizers	stabilisers
staff	personnel
stage	phase
stages	phases
stalemate	deadlock
stalemate	impasse
stalk	peduncle
standardisation	standardization
standardization	standardisation
standards	norms
standing	permanent
starvation	famine
state	place,state,area,region
state-	stating-
statement	declaration
statements	declarations
stating-	state-
statistical	statistics
statistics	statistical
status	statute
statute	status
steam	vapour
steersman	helmsman
stenches	banelings
step-parents	stepfathers
stepbrother	half-brother
stepdad	father-in-law
stepdad	stepfather
stepdaughter	daughter-in-law
stepfather	father-in-law
stepfather	stepdad
stepfathers	step-parents
stepmom	mother-in-law
stepmom	stepmother
stepmother	mother-in-law
stepmother	stepmom
steps	measures
stepsister	half-sister
stepson	son-in-law
sterilisation	sterilization
sterilization	sterilisation
stiffness	rigidity
stigma	stigmatization
stigmatization	stigma
stone	pierre
stoneware	sandstone
stores	shops
story	history
straightjacket	straitjacket
straitjacket	straightjacket
streamlines	optimizes
streamlining	rationalization
street	rue
strengthen	strengthening
strengthening	strengthen
stresses	emphasizes
stressing	emphasizing
stretcher	gurney
string	chain
stroma	stromata
stromata	stroma
struggle	fight
stubble	thatch
stud-books	herd-books
students	pupils
sub-account	subaccount
sub-accounts	subaccounts
sub-activities	subactivities
sub-area	subarea
sub-areas	subareas
sub-assemblies	subsets
sub-basins	sub-watersheds
sub-categories	subcategories
sub-category	subcategory
sub-chapters	subchapters
sub-clans	subclans
sub-commission	subcommission
sub-commission	subcommittee
sub-committee	subcommittee
sub-committees	subcommittees
sub-component	subcomponent
sub-continent	subcontinent
sub-contract	subcontract
sub-contractor	subcontractor
sub-contractors	subcontractors
sub-contracts	subcontracts
sub-criteria	subcriteria
sub-criterion	subcriterion
sub-cultures	subcultures
sub-delegation	subdelegation
sub-directories	subdirectories
sub-directory	subdirectory
sub-districts	subdistricts
sub-domains	subdomains
sub-factor	subfactor
sub-factors	subfactors
sub-folders	subfolders
sub-frame	subframe
sub-goals	sub-objectives
sub-group	subgroup
sub-groups	subgroups
sub-interface	subinterface
sub-interfaces	subinterfaces
sub-inventories	subinventories
sub-inventory	subinventory
sub-menu	submenu
sub-munition	submunition
sub-munitions	submunitions
sub-objectives	sub-goals
sub-paragraph	subparagraph
sub-population	subpopulation
sub-populations	subpopulations
sub-program	subprogramme
sub-project	subproject
sub-projects	subprojects
sub-quota	subquota
sub-quotas	subquotas
sub-region	subregion
sub-regional	subregional
sub-regions	subregions
sub-sample	subsample
sub-samples	subsamples
sub-sector	subsector
sub-sectors	subsectors
sub-series	subseries
sub-set	subset
sub-shaft	subshaft
sub-stations	substations
sub-system	subsystem
sub-systems	subsystems
sub-tab	subtab
sub-theme	subtheme
sub-themes	subthemes
sub-tiers	sublevels
sub-total	subtotal
sub-type	subtype
sub-types	subtypes
sub-unit	subunit
sub-units	subunits
sub-watersheds	sub-basins
subaccount	sub-account
subaccounts	sub-accounts
subactivities	sub-activities
subarea	sub-area
subareas	sub-areas
subassemblies	subsets
subcategories	sub-categories
subcategory	sub-category
subchapters	sub-chapters
subclans	sub-clans
subcommission	sub-commission
subcommissions	subcommittees
subcommittee	sub-commission
subcommittee	sub-committee
subcommittees	sub-committees
subcommittees	subcommissions
subcomponent	sub-component
subcontinent	sub-continent
subcontract	sub-contract
subcontractor	sub-contractor
subcontractors	sub-contractors
subcontracts	sub-contracts
subcriteria	sub-criteria
subcriterion	sub-criterion
subcultures	sub-cultures
subdelegation	sub-delegation
subdirectories	sub-directories
subdirectory	sub-directory
subdistricts	sub-districts
subdomains	sub-domains
subfactor	sub-factor
subfactors	sub-factors
subfolders	sub-folders
subframe	sub-frame
subgroup	sub-group
subgroups	sub-groups
subinterface	sub-interface
subinterfaces	sub-interfaces
subinventories	sub-inventories
subinventory	sub-inventory
subjects	topics
sublevels	sub-tiers
submenu	sub-menu
submission	presentation
submunition	sub-munition
submunitions	sub-munitions
subnets	subnetworks
subnetworks	subnets
subparagraph	sub-paragraph
subpopulation	sub-population
subpopulations	sub-populations
subprogramme	sub-program
subproject	sub-project
subprojects	sub-projects
subquota	sub-quota
subquotas	sub-quotas
subregion	sub-region
subregional	sub-regional
subregions	sub-regions
subsample	sub-sample
subsamples	sub-samples
subsection	paragraph
subsections	paragraphs
subsector	sub-sector
subsectors	sub-sectors
subseries	sub-series
subset	sub-set
subsets	sub-assemblies
subsets	subassemblies
subshaft	sub-shaft
subsidiaries	affiliates
subsidies	grants
subsidy	grant
substance	substance
substations	sub-stations
subsystem	sub-system
subsystems	sub-systems
subtab	sub-tab
subtheme	sub-theme
subthemes	sub-themes
subtitling	captioning
subtotal	sub-total
subtype	sub-type
subtypes	sub-types
subunit	sub-unit
subunits	sub-units
sufficient	enough
suit	costume
sulfas	sulfonamides
sulfate	sulphate
sulfide	sulphide
sulfides	sulphides
sulfonamides	sulfas
sulfonamides	sulphonamides
sulfonate	perfluorooctane
sulfur	sulphur
sulfuric	sulphuric
sulphate	sulfate
sulphide	sulfide
sulphides	sulfides
sulphonamides	sulfonamides
sulphur	sulfur
sulphuric	sulfuric
sunroof	moonroof
sunshade	sunvisor
sunvisor	sunshade
super-power	superpower
super-state	superstate
superpower	super-power
superstate	super-state
supp	suppl
supper	dinner
suppl	supp
supplementary	complementary
supplier	provider
suppliers	providers
suppliers	vendors
support.dell.com	support.dell.com.
support.dell.com.	support.dell.com
suppression	repression
surcharge	surtax
surplus	excess
surtax	surcharge
surveillance	monitoring
sweater	sweatshirt
sweating	transpiration
sweatshirt	sweater
sweatshirts	cardigans
swim	swimming
swimmers	bathers
swimming	swim
swiss	switzerland
switcher	mixer
switzerland	swiss
syilables	syllables
syllables	syilables
symbionts	symbiotes
symbiotes	symbionts
symposia	symposiums
symposiums	symposia
sync	synchronization
synchronization	sync
synchronization	synchronizing
synchronizing	synchronization
syria	syrian
syrian	syria
t-shirt	shirt
t1	q1
t2	q2
t3	q3
t4	q4
tablet	compressed
tac	tach
tach	tac
tach	tachometer
tachometer	tach
tag	label
tags	labels
tailings	residues
take-off	takeoff
takeoff	take-off
talabani	al-talabani
talabani	talbani
talbani	talabani
tamarack	larch
tank	reservoir
tapes	cassettes
targets	objectives
tarpaulins	tarps
tarps	tarpaulins
tassels	acorns
tattoo	tattooing
tattooing	tattoo
tax	taxation
taxation	tax
taxi	cab
taxi	taxis
taxis	taxi
tb	tuberculosis
tc	ct
tdd	tty
technical	techniques
techniques	technical
teenagers	adolescents
tele-consultations	teleconsultations
tele-health	telehealth
tele-homecare	telehomecare
tele-medicine	telemedicine
tele-shopping	teleshopping
telecommunication	telecommunications
telecommunications	telecommunication
teleconsultations	tele-consultations
telehealth	tele-health
telehomecare	tele-homecare
telemedicine	tele-medicine
telemetering	telemetry
telemetry	telemetering
telephone	phone
telephones	phones
teleprinter	teletypewriter
teleshopping	tele-shopping
teletypewriter	teleprinter
television	tv
telework	teleworking
teleworking	telework
telomere	telomeric
telomeres	telomers
telomeric	telomere
telomers	telomeres
ten-year	10-year
tenant	lessee
tendencies	trends
tendency	trend
tenderer	bidder
tenderers	bidders
tendon	sinew
tens	dozens
tensile	traction
tension	voltage
termini	terminus
terminus	termini
terrorist	terrorists
terrorists	terrorist
test	testing
testes	testicles
testicle	testis
testicles	testes
testing	test
testis	testicle
tetrads	quartets
tetroxide	dinitrogen
théâtre	theatre
thalassaemia	thalassemia
thalassemia	thalassaemia
thatch	stubble
thaw	thawing
thawing	thaw
theater	theatre
theatre	théâtre
theatre	theater
themes	topics
theoretician	theorist
theoreticians	theorists
theorist	theoretician
theorists	theoreticians
thesauri	thesaurus
thesaurus	thesauri
thesis	dissertation
thiamin	thiamine
thiamine	thiamin
thieves	robbers
thinners	diluents
thiosulfate	thiosulphate
thiosulphate	thiosulfate
thirst	thirsty
thirsty	thirst
thorns	spines
thrace	thracian
thracian	thrace
throat	gorge
throttle	accelerator
thu	thursday
thumbnail	miniature
thursday	thu
tilt	inclination
timber	wood
time	period,era
time-out	timeout
timeout	time-out
timetable	calendar
tincture	dyeing
tiredness	fatigue
tireless	untiring
tires	tyres
tissue	fabric
tissues	fabrics
tits	boobs
tits	breasts
tm	mt
toc	knock
toilet	washroom
tombstones	headstones
ton	tonne
ton-kms	tonne-kilometres
tonne	ton
tonne-kilometres	ton-kms
tonnes	tons
tons	tonnes
tool	instrument
tools	instruments
tooth	dent
toothpastes	dentifrices
topics	subjects
topics	themes
topographic	topographical
topographical	topographic
toponymie	toponymy
toponymy	toponymie
toubas	tubas
tourism	tourist
tourist	tourism
tourniquets	goldeneyes
tow	towing
towel	napkin
towels	napkins
towing	tow
town	city
town	town,township,borough,burg,hamlet,village,settlement,suburb,place
towns	cities
township	canton
tpp	ppt
tr	si
traction	tensile
trade	commerce
trade	commercial
trade	trading
trading	trade
traffic	trafficking
trafficking	traffic
trainee	intern
trainees	interns
trainers	instructors
traitor	betrayer
tram	tramway
tramway	tram
tranquilizers	tranquillizers
tranquillizers	tranquilizers
trans-european	transeuropean
trans-shipment	transhipment
transboundary	cross-border
transcript	transcription
transcription	transcript
transcriptions	transcripts
transcripts	transcriptions
transeuropean	trans-european
transferability	portability
transferee	assignee
transferees	assignees
transferor	assignor
transferors	assignors
transformers	processors
transhipment	trans-shipment
transhipment	transshipment
transition	transitional
transitional	transition
transmissibility	communicability
transmissible	communicable
transmitter	issuer
transmitters	emitters
transmitters	issuers
transpiration	perspiration
transpiration	sweating
transplant	transplantation
transplantation	transplant
transport	carriage
transport	transportation
transportation	transport
transshipment	transhipment
trapping	entrapment
traveller	voyageur
travesty	parody
treason	betrayal
treatment	processing
trend	tendency
trends	tendencies
trespassers	intruders
trialogue	trilogue
trialogues	trilogues
triax	triaxial
triaxial	triax
tribunal	court
tribunals	courts
trilogue	trialogue
trilogues	trialogues
tritons	newts
troops	forces
trousers	pants
truce	armistice
trucks	lorries
truncheons	batons
trust	confidence
tsar	czar
tsb	bst
tso	osb
tty	tdd
tub	bathtub
tubas	toubas
tube	pipe
tube-wells	tubewells
tubercles	tubers
tuberculosis	tb
tubers	tubercles
tubewells	tube-wells
tufts	clumps
tug	tugboat
tugboat	tug
tugboats	tugs
tugs	tugboats
tumor	tumour
tumors	tumours
tumour	tumor
tumours	tumors
tunis	tunisia
tunisia	tunis
turgidity	turgor
turgor	turgidity
tutorial	walkthrough
tutorials	walkthroughs
tutsi	tutsis
tutsis	tutsi
tv	television
type	kind
types	kinds
tyres	tires
ui	iu
UK	Britain,United Kingdom
ultra-liberalism	ultraliberalism
ultraliberalism	ultra-liberalism
uncle	man
under-dash	dashboard
under-development	underdevelopment
under-reporting	underreporting
under-representation	underrepresentation
under-secretaries	undersecretaries
under-utilization	underutilization
underdevelopment	under-development
underreporting	under-reporting
underrepresentation	under-representation
undersecretaries	under-secretaries
understatement	euphemism
underutilization	under-utilization
unece	ece
uninstall	uninstallation
uninstall	uninstalling
uninstallation	uninstall
uninstalling	uninstall
unit	unity
unitar.ny	unitary.ny
unitary.ny	unitar.ny
United Kingdom	Britain
United States	America,US,USA
units	drives
unity	unit
universalisation	universalization
universalization	universalisation
université	university
university	school,college
university	université
unlawful	illegal
untiring	tireless
updatable	upgradeable
update	updating
update	upgrade
updates	upgrades
updating	update
upgrade	update
upgradeable	updatable
upgrades	updates
uptake	absorption
urediniospores	urediospores
urediospores	urediniospores
urediospores	uredospores
uredospores	urediospores
US	United States,America,USA
USA	United States,America,US
usable	useable
useable	usable
usefulness	utility
uterus	womb
utility	usefulness
vac	acc
vaccination	immunization
vagaries	whims
vapor	vapour
vaporizers	evaporators
vapour	steam
vapour	vapor
vapours	fumes
variable	variables
variables	variable
varicella	chickenpox
vasodilatation	vasodilation
vasodilation	vasodilatation
vault	vaulting
vaulting	vault
vc	cr
vcc	scr
vdp	pov
veal	bovine
veal	calf
vehicle	vehicles
vehicles	vehicle
